tempo,playlist_genre,track_artist,track_id,track_name,track_popularity
70.069,ambient,"Olamide, Bnxn",7j2XUgQz7PLCUPzUStwOJf,Come Alive,42
70.069,arabic,"Olamide, Bnxn",7j2XUgQz7PLCUPzUStwOJf,Come Alive,42
70.087,lofi,chill.farm,1AqN43ZIZzz74aAtnsovZ1,Lost Without You,48
70.101,cantopop,Andy Lau,62cPxmMPoes9xiLqPNRn0C,可不可以,22
70.223,wellness,Modular 53,4x6vhZrC3BNxMtYYb0xa7z,Meteor 5,47
70.294,electronic,Jakob Ahlbom,6dnfoFN9ifNOR7AJKlL1VU,Relent,16
70.499,ambient,Lana Del Rey,3lG6OtGDsYAOALxEmubQQm,Happiness is a butterfly,73
70.526,ambient,Astred,1Q2nWimBEhOpUsl4u8Bumw,Creation,28
70.568,electronic,Stromae,2AMysGXOe0zzZJMtH3Nizb,Formidable,70
70.694,electronic,Sarah Watson,2gKdEkvc4AJarxH6KRm4U8,Chapter Three,39
70.706,ambient,Sounding Cosmos,4380dhBofsUcbAwa2UqBMc,Breaking Silence,52
70.782,classical,"Eleanor Daley, The Chapel Choir of Pembroke College, Cambridge, The Pembroke College Girls’ Choir, Anna Lapwood",7aqgHJkQeVLId28hLNuHIN,Upon Your Heart,33
70.798,electronic,Anneline Hugo,7m11ZzNMFpQa7OM7Zg49UO,New Mercies,14
70.986,country,Jess Sharon,44XTUEb5jMvHL1XFdYLFo3,Crazy,35
71.008,lofi,Zonyo,4WuNnBS0bhE9WuXky2VBCl,fliff,50
71.045,lofi,Collinsworthy,1SadNNfKugUYlaXTZO9g7c,camping trip,50
71.123,pop,Faye Webster,2VYnlKxB8jpbCeLUjQsebc,In A Good Way,71
71.341,wellness,Elijah Edwards,4rBXXAmg7w41IN64wvBcvM,Imaginations,49
71.371,ambient,Quiet Tones,2RE57iFY7fJ4xLoTx7V2rC,Radiance,44
71.477,classical,"Arvo Pärt, Vladimir Spivakov, Sergej Bezrodny",4wudbbceOZKjRlhTtbHvAs,Spiegel im Spiegel - Version for Violin and Piano,47
71.505,ambient,Mellow Line,5X5nxaIGTBD83D93pqAjcr,Mahabharata,52
71.562,wellness,Dhanura,2TCrbllNiGHJFJU5Bgua4V,Earthly,48
71.599,ambient,Matheo Lyon,15TwhLj4nBzXJ6LNkkMrF2,Foundation,61
