tempo,playlist_genre,track_artist,track_id,track_name,track_popularity
116.761,rock,Nirvana,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,76
88.785,rock,Rage Against The Machine,59WN2psjkt1tyaxjspN8fp,Killing In The Name,78
164.775,rock,The Beatles,2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,75
126.755,rock,Kansas,4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,73
129.802,rock,Blur,1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,78
81.334,rock,Pixies,7wCmS9TTVUcIhRalDYFgPy,Where Is My Mind? - 2007 Remaster,76
113.375,rock,The Clash,39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,80
109.975,rock,Queen,57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,71
128.019,rock,Muse,4VqPOruhp5EdPBeR92t6lQ,Uprising,75
98.883,rock,Buffalo Springfield,1qRA5BS78u3gME0loMl9AA,For What It's Worth,76
138.18,rock,Van Halen,0upLyFR8Rr52ZpMp5esQoq,You Really Got Me - 2015 Remaster,68
105.435,rock,Soundgarden,2EoOZnxNgtmZaD8uUmz2nD,Black Hole Sun,76
124.348,rock,Santana,4YMQXzscifAREG0a7KNGhB,Black Magic Woman - Single Version,70
159.925,rock,Lenny Kravitz,1OxcIUqVmVYxT6427tbhDW,Fly Away,73
151.008,rock,The Police,1oYYd2gnWZYrt89EBXdFiO,Message In A Bottle,75
112.113,rock,David Bowie,7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,72
112.937,rock,Led Zeppelin,78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,75
177.765,rock,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,76
188.386,rock,AC/DC,08mG3Y1vljYA6bvDt4Wqkj,Back In Black,83
137.145,rock,Heart,4KfSdst7rW39C0sfhArdrz,Barracuda,74
