tempo,genre,track_artist,track_id,track_name,track_popularity
68.4,wellness,Luna Novina,4WU2fTBAX3JkayltzAC55D,Luminescent,50
68.5,wellness,Universo,0Ofa1VBQNy5iV9LyyX0iw1,Intergalactico,43
68.5,world,浩宇,7bbJDj4Q9Q28xPOcVoVHXc,风和树叶,32
68.5,pop,Taylor Swift,1dGr1c8CrMLDpV6mPbImSI,Lover,84
68.5,classical,James Heather,26g48sI8nJSWGtLecKZrej,Ultraviolet,62
68.6,wellness,Stepan Korolev,4FPF6KASKzwYP3XRjXm0jF,Cosmic Enlightenment,50
68.6,ambient,Reso Nata,5sOzPDUiz5ZTDoXUGCtNGu,Somnova,45
68.6,classical,"Veljo Tormis, Mikrokosmos, Loïc Pierre",0QXrJH7Whrm5xFioJtT1BV,La Kanteletar: I. Herkä neito,32
68.7,wellness,Celestial Echoes,6S5TAvYjNKzaVI5KR6DomW,Metamorphic,44
68.9,ambient,Mareina,2dslILOVDhmXVEds5LUuDj,Cove,48
68.9,classical,"Claude Debussy, Alice Sara Ott",1cmigB9I6IRpFqjIbzvSQB,"Suite bergamasque, L. 75: III. Clair de lune",65
69.0,world,Yume.Play,7JsubGmueKhqNhfdAcKXNS,Serenity,36
69.0,lofi,Bus Topp,5aeQDI9LxC5Aiuc5Vqo65K,SoulShower,52
69.0,wellness,Aurora Dreamer,4FWPL5W5UKBuYMMRPVNWC1,Nom Mind,51
69.1,electronic,"Stilhed, Jacob David",62Is90S3pFnUxtnhztyuZX,Trampoline,31
69.1,wellness,Michel LeBond,30UGQxzuYRKOziYOLFbYUY,"Floating, Flying",44
69.2,wellness,Astred,1hLocT1ZOLgTPDVtsfLLwU,Quiet Dreams,49
69.3,jazz,Butterscotch,02MFno0s2lpD3rycI7cllL,P_Optimist,47
69.3,ambient,Anders Schill Paulsen,0llXuMzfxERO9rNFZ4pCUh,Meander,45
69.3,ambient,Nova Ambia,0ZUnUqTwUa985VvMYVAU0P,Moments,45
69.4,gaming,"Brendan Angelides, Assassin's Creed, Layth Sidiq",17D3bYY9JJJjH1TUAruBJr,Mirage Theme - From Assassin's Creed Mirage,34
69.5,wellness,Joseff Shields,77X5JEYLRwx9G3DCJ3PVsn,Undulating,45
69.6,electronic,Luke Howard,6k7kaov8nnc7SQkX2DWCCq,The Ends,24
69.7,classical,Yehezkel Raz,2kbruQXVXFmxxm4l75zuwy,Behind Every Decision,70
69.8,soul,Snoh Aalegra,3FImu2LpSuH6gDHBuFgIbS,DO 4 LOVE,66
