playlist_genre,track_name,track_artist,track_popularity,analysis_url
rock,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,76,https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34
rock,Starman - 2012 Remaster,David Bowie,76,https://api.spotify.com/v1/audio-analysis/0pQskrTITgmCMyr85tb9qq
rock,Whole Lotta Love - 1990 Remaster,Led Zeppelin,72,https://api.spotify.com/v1/audio-analysis/0hCB0YR03f6AmQaHbwWDe8
rock,Riders on the Storm,The Doors,70,https://api.spotify.com/v1/audio-analysis/14XWXWv5FoCbFzLksawpEe
rock,Even Flow,Pearl Jam,77,https://api.spotify.com/v1/audio-analysis/6QewNVIDKdSl8Y3ycuHIei
rock,Born in the U.S.A.,Bruce Springsteen,72,https://api.spotify.com/v1/audio-analysis/0dOg1ySSI7NkpAe89Zo0b9
rock,Bitter Sweet Symphony - Remastered 2016,The Verve,79,https://api.spotify.com/v1/audio-analysis/57iDDD9N9tTWe75x6qhStw
rock,Don't Cry (Original),Guns N' Roses,75,https://api.spotify.com/v1/audio-analysis/2N2yrmodOnVF10mKvItC9P
rock,All Along the Watchtower,Jimi Hendrix,72,https://api.spotify.com/v1/audio-analysis/2aoo2jlRnM3A0NyLQqMN2f
rock,In The Air Tonight - 2015 Remastered,Phil Collins,76,https://api.spotify.com/v1/audio-analysis/18AXbzPzBS8Y3AkgSxzJPb
rock,Psycho Killer - 2005 Remaster,Talking Heads,76,https://api.spotify.com/v1/audio-analysis/1i6N76fftMZhijOzFQ5ZtL
rock,Are You Gonna Go My Way,Lenny Kravitz,71,https://api.spotify.com/v1/audio-analysis/45Ia1U4KtIjAPPU7Wv1Sea
rock,Master of Puppets (Remastered),Metallica,70,https://api.spotify.com/v1/audio-analysis/54bm2e3tk8cliUz3VSdCPZ
rock,Everywhere - 2017 Remaster,Fleetwood Mac,79,https://api.spotify.com/v1/audio-analysis/254bXAqt3zP6P50BdQvEsq
rock,Have You Ever Seen The Rain,Creedence Clearwater Revival,84,https://api.spotify.com/v1/audio-analysis/2LawezPeJhN4AWuSB0GtAU
rock,Smells Like Teen Spirit,Nirvana,76,https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T
rock,Killing In The Name,Rage Against The Machine,78,https://api.spotify.com/v1/audio-analysis/59WN2psjkt1tyaxjspN8fp
rock,Come Together - Remastered 2009,The Beatles,75,https://api.spotify.com/v1/audio-analysis/2EqlS6tkEnglzr7tkKAAYD
rock,Carry on Wayward Son,Kansas,73,https://api.spotify.com/v1/audio-analysis/4DMKwE2E2iYDKY01C335Uw
rock,Song 2 - 2012 Remaster,Blur,78,https://api.spotify.com/v1/audio-analysis/1FTSo4v6BOZH9QxKc3MbVM
rock,Where Is My Mind? - 2007 Remaster,Pixies,76,https://api.spotify.com/v1/audio-analysis/7wCmS9TTVUcIhRalDYFgPy
rock,Should I Stay or Should I Go - Remastered,The Clash,80,https://api.spotify.com/v1/audio-analysis/39shmbIHICJ2Wxnk1fPSdz
rock,Another One Bites The Dust - Remastered 2011,Queen,71,https://api.spotify.com/v1/audio-analysis/57JVGBtBLCfHw2muk5416J
rock,Uprising,Muse,75,https://api.spotify.com/v1/audio-analysis/4VqPOruhp5EdPBeR92t6lQ
rock,For What It's Worth,Buffalo Springfield,76,https://api.spotify.com/v1/audio-analysis/1qRA5BS78u3gME0loMl9AA
rock,Black Hole Sun,Soundgarden,76,https://api.spotify.com/v1/audio-analysis/2EoOZnxNgtmZaD8uUmz2nD
rock,Black Magic Woman - Single Version,Santana,70,https://api.spotify.com/v1/audio-analysis/4YMQXzscifAREG0a7KNGhB
rock,Fly Away,Lenny Kravitz,73,https://api.spotify.com/v1/audio-analysis/1OxcIUqVmVYxT6427tbhDW
rock,Message In A Bottle,The Police,75,https://api.spotify.com/v1/audio-analysis/1oYYd2gnWZYrt89EBXdFiO
rock,Heroes - 2017 Remaster,David Bowie,72,https://api.spotify.com/v1/audio-analysis/7Jh1bpe76CNTCgdgAdBw4Z
rock,Immigrant Song - Remaster,Led Zeppelin,75,https://api.spotify.com/v1/audio-analysis/78lgmZwycJ3nzsdgmPPGNx
rock,Mr. Blue Sky,Electric Light Orchestra,76,https://api.spotify.com/v1/audio-analysis/2RlgNHKcydI9sayD2Df2xp
rock,Back In Black,AC/DC,83,https://api.spotify.com/v1/audio-analysis/08mG3Y1vljYA6bvDt4Wqkj
rock,Barracuda,Heart,74,https://api.spotify.com/v1/audio-analysis/4KfSdst7rW39C0sfhArdrz
rock,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,79,https://api.spotify.com/v1/audio-analysis/3gdewACMIVMEWVbyb8O9sY
rock,Heart-Shaped Box,Nirvana,79,https://api.spotify.com/v1/audio-analysis/11LmqTE2naFULdEP94AUBa
rock,Africa,TOTO,83,https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX
rock,(Don't Fear) The Reaper,Blue Öyster Cult,75,https://api.spotify.com/v1/audio-analysis/5QTxFnGygVM4jFQiBovmRo
rock,1979 - Remastered 2012,The Smashing Pumpkins,77,https://api.spotify.com/v1/audio-analysis/5QLHGv0DfpeXLNFo7SFEy1
rock,Comfortably Numb,Pink Floyd,71,https://api.spotify.com/v1/audio-analysis/5HNCy40Ni5BZJFw1TKzRsC
rock,American Pie,Don McLean,74,https://api.spotify.com/v1/audio-analysis/1fDsrQ23eTAVFElUMaf38X
rock,Roxanne,The Police,77,https://api.spotify.com/v1/audio-analysis/3EYOJ48Et32uATr9ZmLnAo
rock,Walk On the Wild Side,Lou Reed,74,https://api.spotify.com/v1/audio-analysis/5p3JunprHCxClJjOmcLV8G
rock,The Boys Are Back In Town,Thin Lizzy,70,https://api.spotify.com/v1/audio-analysis/43DeSV93pJPT4lCZaWZ6b1
rock,Highway to Hell,AC/DC,84,https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s
